Year,Disaster_Type,Total_Economic_Damage_Share_GDP,Countries_With_Data,Total_Countries_In_Year
2005,Wildfire,1.0699644334800003,17,125
2005,Glacial lake outburst flood,0.0,0,125
2005,Dry mass movement,0.0,0,125
2005,Wet mass movement,0.0101872813,15,125
2006,Drought,0.8951112683,25,110
2006,Flood,8.522292766767,89,110
2006,Earthquake,1.71049821946,18,110
2006,Extreme weather,2.64112173499,32,110
2006,Extreme temperature,0.1054476139,32,110
2006,Volcanic activity,0.32252273043,11,110
2006,Wildfire,0.08126128431,9,110
2006,Glacial lake outburst flood,0.0,0,110
2006,Dry mass movement,0.0,3,110
2006,Wet mass movement,0.012730598070000002,17,110
2007,Drought,9.229778249444,17,131
2007,Flood,8.73594656678,94,131
2007,Earthquake,1.200918338,18,131
2007,Extreme weather,30.5593961112,57,131
2007,Extreme temperature,0.0,27,131
2007,Volcanic activity,0.0,9,131
2007,Wildfire,0.7722197261,18,131
2007,Glacial lake outburst flood,0.0,0,131
2007,Dry mass movement,0.0,0,131
2007,Wet mass movement,0.0,10,131
2008,Drought,0.00548349467,23,127
2008,Flood,8.16044176619,92,127
2008,Earthquake,2.7039518894300003,18,127
2008,Extreme weather,80.37288607011001,55,127
2008,Extreme temperature,16.95284997,16,127
2008,Volcanic activity,0.0,9,127
2008,Wildfire,0.16200842529999998,8,127
2008,Glacial lake outburst flood,0.0,0,127
2008,Dry mass movement,0.0,6,127
2008,Wet mass movement,0.0,12,127
2009,Drought,0.19813499592,31,122
2009,Flood,4.740431340736,89,122
2009,Earthquake,24.7565615361,22,122
2009,Extreme weather,10.406228764399998,44,122
2009,Extreme temperature,0.24240851041,25,122
2009,Volcanic activity,0.0,4,122
2009,Wildfire,0.15262622359999997,11,122
2009,Glacial lake outburst flood,0.0,0,122
2009,Dry mass movement,0.0,3,122
2009,Wet mass movement,0.00905606354,22,122
2010,Drought,1.1030698640999999,31,137
2010,Flood,14.478419677762002,99,137
2010,Earthquake,86.510431424194,18,137
2010,Extreme weather,12.809483870316999,52,137
2010,Extreme temperature,0.7435992194100001,33,137
2010,Volcanic activity,0.0,9,137
2010,Wildfire,0.23893762470000002,11,137
2010,Glacial lake outburst flood,0.0,0,137
2010,Dry mass movement,0.0,0,137
2010,Wet mass movement,1.2688057965619999,25,137
2011,Drought,0.9481386350000001,26,107
2011,Flood,24.7224012005,81,107
2011,Earthquake,15.083219233033997,24,107
2011,Extreme weather,2.6436609121499997,46,107
2011,Extreme temperature,0.050234584061300006,18,107
2011,Volcanic activity,0.02031693097,8,107
2011,Wildfire,0.1330283518,8,107
2011,Glacial lake outburst flood,0.0,0,107
2011,Dry mass movement,0.0,0,107
2011,Wet mass movement,0.0,17,107
2012,Drought,1.2934949320000002,33,123
2012,Flood,7.9534224,80,123
2012,Earthquake,1.6189912361300003,21,123
2012,Extreme weather,22.522540378795995,38,123
2012,Extreme temperature,0.008068039789999999,45,123
2012,Volcanic activity,0.0,3,123
2012,Wildfire,0.13354512229999999,9,123
2012,Glacial lake outburst flood,0.0,0,123
2012,Dry mass movement,0.0,3,123
2012,Wet mass movement,0.0,13,123
2013,Drought,2.032903822,19,114
2013,Flood,24.199698020040007,86,114
2013,Earthquake,0.52801585533,20,114
2013,Extreme weather,7.33375712545,43,114
2013,Extreme temperature,0.3771133519,21,114
2013,Volcanic activity,0.0,5,114
2013,Wildfire,0.0309390321,10,114
2013,Glacial lake outburst flood,0.0,0,114
2013,Dry mass movement,0.000131498834,3,114
2013,Wet mass movement,0.0,11,114
2014,Drought,0.9522184673,25,102
2014,Flood,12.03901671543,73,102
2014,Earthquake,0.455481703723,21,102
2014,Extreme weather,10.0861080239,40,102
2014,Extreme temperature,0.02922513006,21,102
2014,Volcanic activity,0.021963037869999997,10,102
2014,Wildfire,0.0230112471,5,102
2014,Glacial lake outburst flood,0.0,0,102
2014,Dry mass movement,0.0,0,102
2014,Wet mass movement,0.677109807805,15,102
2015,Drought,5.132787530000001,42,124
2015,Flood,7.778167632185,87,124
2015,Earthquake,22.160418691338503,19,124
2015,Extreme weather,157.85376113160498,53,124
2015,Extreme temperature,0.05010710023,18,124
2015,Volcanic activity,0.2495133586,8,124
2015,Wildfire,0.177373585,12,124
2015,Glacial lake outburst flood,0.0,0,124
2015,Dry mass movement,0.0,3,124
2015,Wet mass movement,0.024419609761,17,124
2016,Drought,7.701942036999999,35,112
2016,Flood,4.66603682546,80,112
2016,Earthquake,6.8524915473400005,25,112
2016,Extreme weather,35.5990651524,41,112
2016,Extreme temperature,0.03320089832,15,112
2016,Volcanic activity,0.0,3,112
2016,Wildfire,0.5385092036,11,112
2016,Glacial lake outburst flood,0.0,0,112
2016,Dry mass movement,0.0,0,112
2016,Wet mass movement,0.01339655055,13,112
2017,Drought,1.3666732667000001,28,127
2017,Flood,5.2437105259,72,127
2017,Earthquake,0.9154471479699999,17,127
2017,Extreme weather,606.42453718601,67,127
2017,Extreme temperature,0.0,15,127
2017,Volcanic activity,0.0,5,127
2017,Wildfire,0.779079805,16,127
2017,Glacial lake outburst flood,0.0,0,127
2017,Dry mass movement,0.0,3,127
2017,Wet mass movement,0.847346105371,22,127
2018,Drought,1.2986261620000001,26,124
2018,Flood,2.61472943275,77,124
2018,Earthquake,0.6023615870900001,13,124
2018,Extreme weather,3.7556758244,47,124
2018,Extreme temperature,0.0,30,124
2018,Volcanic activity,0.036870273200000005,12,124
2018,Wildfire,0.19748423924000003,12,124
2018,Glacial lake outburst flood,0.0,0,124
2018,Dry mass movement,0.0,3,124
2018,Wet mass movement,0.304413214636,15,124
2019,Drought,0.32335630842000007,32,123
2019,Flood,2.7296610175,86,123
2019,Earthquake,4.9115943283600005,20,123
2019,Extreme weather,42.263593748299996,48,123
2019,Extreme temperature,0.0,21,123
2019,Volcanic activity,0.0,8,123
2019,Wildfire,0.11904072570000002,16,123
2019,Glacial lake outburst flood,0.0,0,123
2019,Dry mass movement,0.0,0,123
2019,Wet mass movement,0.0024338219400000002,25,123
2020,Drought,0.4479642135,25,125
2020,Flood,6.020391396199999,91,125
2020,Earthquake,23.668447906124005,15,125
2020,Extreme weather,35.51221216970001,62,125
2020,Extreme temperature,0.0,9,125
2020,Volcanic activity,0.01931912097,6,125
2020,Wildfire,0.2461075911,14,125
2020,Glacial lake outburst flood,0.0,0,125
2020,Dry mass movement,0.0,0,125
2020,Wet mass movement,0.03575467329,22,125
2021,Drought,5.2615390764,29,130
2021,Flood,3.0678840293999996,95,130
2021,Earthquake,8.06922783939,20,130
2021,Extreme weather,4.210293041499999,60,130
2021,Extreme temperature,0.23663124630000001,6,130
2021,Volcanic activity,37.34203498550001,14,130
2021,Wildfire,0.52885279466,19,130
2021,Glacial lake outburst flood,0.009646927999999999,3,130
2021,Dry mass movement,0.0,0,130
2021,Wet mass movement,0.00563791134,15,130
2022,Drought,6.5165247312,41,133
2022,Flood,3.92507741007,80,133
2022,Earthquake,0.45427603520000004,21,133
2022,Extreme weather,8.613470926000002,53,133
2022,Extreme temperature,0.0,45,133
2022,Volcanic activity,0.00050885544,6,133
2022,Wildfire,0.1345214479,17,133
2022,Glacial lake outburst flood,0.0,4,133
2022,Dry mass movement,0.0,0,133
2022,Wet mass movement,0.0,16,133
